537	91906	actually
538	91713	sure
539	91659	co
540	91475	michael
541	91437	foreign
542	91237	labour
543	91151	figure
544	91143	drive
545	91137	deal
546	91119	heart
547	91119	history
548	90953	ground
549	90854	yes
550	90723	hit
551	90244	process
552	90057	september
553	90045	july
554	90017	role
555	90015	north
556	89971	self
557	89961	remember
558	89830	cause
559	89645	experience
560	89607	fail
561	89457	understand
562	89443	raise
563	89290	human
564	89198	mark
565	89177	open
566	89081	available
567	89056	control
568	88830	paul
569	88258	whole
570	87802	doesn
571	87727	product
572	87676	wife
573	87660	whose
574	87518	st
575	87205	research
576	87010	period
577	86697	trade
578	86429	require
579	86018	capital
580	85884	soon
581	85793	call
582	85572	sense
583	85248	mm
584	85239	charge
585	85215	staff
586	85092	rule
587	84979	firm
588	84865	recent
589	84841	league
590	84612	e
591	84476	describe
592	84466	themselves
593	84382	peter
594	84262	face
595	84202	accord
596	84193	enough
597	84040	wait
598	83956	stock
599	83766	board
600	83626	matter
601	83491	photo
602	83433	pass
603	83163	official
604	83139	main
605	83058	rise
606	83000	close
607	82866	paper
608	82854	no
609	82792	general
610	82740	yeah
611	82621	australia
612	82619	eight
613	82566	everything
614	82538	ball
615	82495	officer
616	82347	door
617	82293	uk
618	82222	support
619	81918	performance
620	81897	couple
621	81882	single
622	81763	foot
623	81499	yes
624	81473	october
625	81433	military
626	81202	series
627	81118	authority
628	81088	difficult
629	81023	mm
630	80691	seek
631	80499	english
632	80438	despite
633	80126	love
634	80072	building
635	79988	german
636	79962	son
637	79958	walk
638	79825	stage
639	79515	someone
640	79507	close
641	79274	use
642	79243	certain
643	79073	race
644	79019	study
645	78993	secretary
646	78974	red
647	78871	de
648	78539	relationship
649	78281	attack
650	78095	choose
651	78078	condition
652	77952	private
653	77799	no
654	77773	else
655	77343	accept
656	77164	sport
657	77073	draw
658	76625	hospital
659	76590	cannot
660	76586	billion
661	76583	serve
662	76513	programme
663	76411	support
664	76380	i
665	76326	explain
666	76311	back
667	76273	summer
668	76240	france
669	76081	percent
670	76070	operation
671	75845	television
672	75837	radio
673	75677	campaign
674	75641	prove
675	75638	department
676	75424	executive
677	75345	august
678	75306	miss
679	75216	sex
680	74989	sir
681	74916	management
682	74483	beat
683	74475	effort
684	74408	dr
685	74127	god
686	73660	ten
687	73659	light
688	73493	sunday
689	73480	simply
690	73185	mind
691	73077	prepare
692	72995	march
693	72991	washington
694	72970	worker
695	72743	education
696	72673	account
697	72446	instead
698	72436	itself
699	72262	future
700	72240	front
701	72165	loss
702	72039	wall
703	71927	committee
704	71879	economy
705	71867	risk
706	71825	computer
707	71768	wear
708	71722	church
709	71641	career
710	71635	talk
711	71553	cover
712	71550	admit
